7 "[[0, 2, 2], [2, 2, 0]]"
6 "[[0, 3], [3, 3], [3, 0]]"
5 "[[4, 4], [4, 0], [4, 0]]"
5 "[[0, 0, 5], [5, 5, 5]]"
4 "[[6], [6], [6], [6]]"
8 "[[5, 0], [5, 0], [5, 5]]"
5 "[[0, 2, 2], [2, 2, 0]]"
2 "[[5, 0], [5, 0], [5, 5]]"
5 "[[0, 3], [3, 3], [3, 0]]"
5 "[[7, 7], [7, 7]]"
9 "[[6], [6], [6], [6]]"
7 "[[2, 0], [2, 2], [0, 2]]"
6 "[[5, 5], [0, 5], [0, 5]]"
8 "[[0, 3], [3, 3], [3, 0]]"
3 "[[4, 4], [4, 0], [4, 0]]"
4 "[[6], [6], [6], [6]]"
7 "[[5, 5], [0, 5], [0, 5]]"
7 "[[7, 7], [7, 7]]"
5 "[[1, 0], [1, 1], [1, 0]]"
7 "[[7, 7], [7, 7]]"
