7 "[[0, 2, 2], [2, 2, 0]]"
6 "[[0, 3], [3, 3], [3, 0]]"
6 "[[0, 3], [3, 3], [3, 0]]"
6 "[[0, 3], [3, 3], [3, 0]]"
2 "[[6, 6, 6, 6]]"
0 "[[0, 4], [0, 4], [4, 4]]"
3 "[[0, 0, 5], [5, 5, 5]]"
2 "[[6], [6], [6], [6]]"
0 "[[6], [6], [6], [6]]"
4 "[[0, 3], [3, 3], [3, 0]]"
8 "[[7, 7], [7, 7]]"
8 "[[7, 7], [7, 7]]"
4 "[[0, 3], [3, 3], [3, 0]]"
0 "[[5, 5], [0, 5], [0, 5]]"
3 "[[6], [6], [6], [6]]"
3 "[[7, 7], [7, 7]]"
0 "[[4, 4, 4], [0, 0, 4]]"
6 "[[0, 3], [3, 3], [3, 0]]"
0 "[[4, 0, 0], [4, 4, 4]]"
9 "[[6], [6], [6], [6]]"
4 "[[1, 1, 1], [0, 1, 0]]"
2 "[[7, 7], [7, 7]]"
0 "[[2, 0], [2, 2], [0, 2]]"
8 "[[4, 4], [4, 0], [4, 0]]"
4 "[[6, 6, 6, 6]]"
7 "[[1, 1, 1], [0, 1, 0]]"
3 "[[6, 6, 6, 6]]"
0 "[[3, 3, 0], [0, 3, 3]]"
6 "[[6, 6, 6, 6]]"
3 "[[0, 0, 5], [5, 5, 5]]"
6 "[[6, 6, 6, 6]]"
1 "[[1, 1, 1], [0, 1, 0]]"
3 "[[2, 0], [2, 2], [0, 2]]"
0 "[[6], [6], [6], [6]]"
4 "[[2, 0], [2, 2], [0, 2]]"
8 "[[7, 7], [7, 7]]"
7 "[[6], [6], [6], [6]]"
3 "[[0, 3], [3, 3], [3, 0]]"
1 "[[5, 0], [5, 0], [5, 5]]"
3 "[[0, 3], [3, 3], [3, 0]]"
8 "[[7, 7], [7, 7]]"
0 "[[0, 4], [0, 4], [4, 4]]"
7 "[[0, 1, 0], [1, 1, 1]]"
6 "[[6], [6], [6], [6]]"
5 "[[4, 4], [4, 0], [4, 0]]"
6 "[[7, 7], [7, 7]]"
8 "[[2, 0], [2, 2], [0, 2]]"
6 "[[0, 2, 2], [2, 2, 0]]"
7 "[[7, 7], [7, 7]]"
4 "[[2, 0], [2, 2], [0, 2]]"
0 "[[4, 4], [4, 0], [4, 0]]"
0 "[[5, 0], [5, 0], [5, 5]]"
3 "[[6, 6, 6, 6]]"
